column,n_unique,method,estimated_n_output_features,is_in_onehot_group,is_logic_sensitive,notes
customerID,1,one_hot,1,False,False,low cardinality ≤ 10
gender,2,one_hot,2,False,False,low cardinality ≤ 10
Partner,2,one_hot,2,False,False,explicit ONE_HOT list
Dependents,2,one_hot,2,False,False,explicit ONE_HOT list
PhoneService,2,one_hot,2,False,True,low cardinality ≤ 10
MultipleLines,3,one_hot,3,False,True,low cardinality ≤ 10
InternetService,3,one_hot,3,False,True,explicit ONE_HOT list
OnlineSecurity,3,one_hot,3,False,True,low cardinality ≤ 10
OnlineBackup,3,one_hot,3,False,True,low cardinality ≤ 10
DeviceProtection,3,one_hot,3,False,True,low cardinality ≤ 10
TechSupport,3,one_hot,3,False,True,low cardinality ≤ 10
StreamingTV,3,one_hot,3,False,True,low cardinality ≤ 10
StreamingMovies,3,one_hot,3,False,True,low cardinality ≤ 10
Contract,3,one_hot,3,False,True,explicit ONE_HOT list
PaperlessBilling,2,one_hot,2,False,False,low cardinality ≤ 10
PaymentMethod,4,target,1,False,False,explicit TARGET list
Churn,2,one_hot,2,False,False,low cardinality ≤ 10
SeniorCitizen_flag_text,2,one_hot,2,False,False,low cardinality ≤ 10
tenure_months_bucket,5,one_hot,5,False,False,low cardinality ≤ 10
