column,n_unique,unique_ratio,is_constant,high_cardinality
customerID,7043,1.0,False,True
TotalCharges,6530,0.927162,False,True
MonthlyCharges,1585,0.225046,False,False
tenure,73,0.010365,False,False
PaymentMethod,4,0.000568,False,False
MultipleLines,3,0.000426,False,False
Contract,3,0.000426,False,False
StreamingTV,3,0.000426,False,False
DeviceProtection,3,0.000426,False,False
StreamingMovies,3,0.000426,False,False
TechSupport,3,0.000426,False,False
InternetService,3,0.000426,False,False
OnlineSecurity,3,0.000426,False,False
OnlineBackup,3,0.000426,False,False
Dependents,2,0.000284,False,False
Partner,2,0.000284,False,False
SeniorCitizen,2,0.000284,False,False
gender,2,0.000284,False,False
PhoneService,2,0.000284,False,False
PaperlessBilling,2,0.000284,False,False
Churn,2,0.000284,False,False
Churn_flag,2,0.000284,False,False
