column,role,feature_group,type_group,semantic_type,dtype,is_id,is_protected,is_target,include_in_model,n_unique
Dependents,feature,binary,boolean,boolean_like_string,object,False,False,False,True,2
PaperlessBilling,feature,binary,boolean,boolean_like_string,object,False,False,False,True,2
Partner,feature,binary,boolean,boolean_like_string,object,False,False,False,True,2
PhoneService,feature,binary,boolean,boolean_like_string,object,False,False,False,True,2
SeniorCitizen,feature,binary,numeric,binary_flag,int64,False,False,False,True,2
SeniorCitizen_flag_text,feature,binary,categorical,flag_text,category,False,False,False,True,2
Senior_flag,feature,binary,boolean,binary_flag,boolean,False,False,False,True,2
Contract,feature,categorical_nominal,categorical,categorical,object,False,False,False,True,3
DeviceProtection,feature,categorical_nominal,categorical,categorical,object,False,False,False,True,3
InternetService,feature,categorical_nominal,categorical,categorical,object,False,False,False,True,3
MultipleLines,feature,categorical_nominal,categorical,categorical,object,False,False,False,True,3
OnlineBackup,feature,categorical_nominal,categorical,categorical,object,False,False,False,True,3
OnlineSecurity,feature,categorical_nominal,categorical,categorical,object,False,False,False,True,3
PaymentMethod,feature,categorical_nominal,categorical,categorical,object,False,False,False,True,4
StreamingMovies,feature,categorical_nominal,categorical,categorical,object,False,False,False,True,3
StreamingTV,feature,categorical_nominal,categorical,categorical,object,False,False,False,True,3
TechSupport,feature,categorical_nominal,categorical,categorical,object,False,False,False,True,3
gender,feature,categorical_nominal,categorical,categorical,object,False,False,False,True,2
MonthlyCharges,feature,numeric_continuous,numeric,numeric,float64,False,False,False,True,1585
TotalCharges,feature,numeric_continuous,numeric,numeric,float64,False,False,False,True,6530
tenure,feature,numeric_continuous,numeric,numeric,int64,False,False,False,True,73
customerID,id,id,categorical,categorical,object,True,True,False,False,7043
Churn_flag,target,target,numeric,target_flag,Int8,False,True,True,False,2
Churn,target_aux,target_aux,categorical,target_raw,object,False,True,True,False,2
