feature,score_redundancy_0_1,score_stability_0_1,score_interaction_value_0_1,score_drift_risk_0_1,readiness_score_0_1,readiness_score_0_100,readiness_band
Contract,1.0,0.84,0.2,0.7,0.685,68.5,Secondary/Transform
StreamingMovies,1.0,0.84,0.2,0.7,0.685,68.5,Secondary/Transform
TechSupport,1.0,0.84,0.2,0.7,0.685,68.5,Secondary/Transform
StreamingTV,1.0,0.84,0.2,0.7,0.685,68.5,Secondary/Transform
PaymentMethod,1.0,0.84,0.2,0.7,0.685,68.5,Secondary/Transform
PaperlessBilling,1.0,0.84,0.2,0.7,0.685,68.5,Secondary/Transform
tenure_months_bucket,1.0,0.84,0.2,0.7,0.685,68.5,Secondary/Transform
TotalCharges,1.0,0.88,0.099,0.7,0.67,67.0,Secondary/Transform
MonthlyCharges,1.0,0.877,0.076,0.7,0.663,66.3,Secondary/Transform
expected_total_from_tenure_monthly,1.0,0.88,0.072,0.7,0.663,66.3,Secondary/Transform
expected_total_from_payment_profile,1.0,0.88,0.072,0.7,0.663,66.3,Secondary/Transform
Churn,1.0,0.74,0.2,0.7,0.66,66.0,Secondary/Transform
tenure,1.0,0.865,0.059,0.7,0.656,65.6,Secondary/Transform
InternetService,1.0,0.84,0.085,0.7,0.656,65.6,Secondary/Transform
gender,1.0,0.72,0.2,0.7,0.655,65.5,Secondary/Transform
MultipleLines,1.0,0.86,0.051,0.7,0.653,65.3,Secondary/Transform
OnlineBackup,1.0,0.84,0.047,0.7,0.647,64.7,Secondary/Transform
OnlineSecurity,1.0,0.84,0.044,0.7,0.646,64.6,Secondary/Transform
SeniorCitizen_flag_text,1.0,0.68,0.2,0.7,0.645,64.5,Secondary/Transform
Senior_flag,1.0,0.68,0.2,0.7,0.645,64.5,Secondary/Transform
Partner,1.0,0.84,0.032,0.7,0.643,64.3,Secondary/Transform
pseudo_end,1.0,0.67,0.2,0.7,0.642,64.2,Secondary/Transform
DeviceProtection,1.0,0.84,0.017,0.7,0.639,63.9,Secondary/Transform
expected_total_senior,1.0,0.74,0.099,0.7,0.635,63.5,Secondary/Transform
total_charges_per_month,1.0,0.717,0.085,0.7,0.625,62.5,Secondary/Transform
expected_min_total_from_contract,1.0,0.74,0.044,0.7,0.621,62.1,Secondary/Transform
SeniorCitizen,1.0,0.75,0.03,0.7,0.62,62.0,Secondary/Transform
Churn_flag,1.0,0.74,0.03,0.7,0.617,61.7,Secondary/Transform
Dependents,1.0,0.74,0.025,0.7,0.616,61.6,Secondary/Transform
expected_total_for_zero_tenure,1.0,0.54,0.2,0.7,0.61,61.0,Secondary/Transform
PhoneService,1.0,0.68,0.016,0.7,0.599,59.9,Secondary/Transform
customerID,1.0,0.49,0.2,0.7,0.597,59.7,Secondary/Transform
pseudo_start,1.0,0.49,0.2,0.7,0.597,59.7,Secondary/Transform
_logic_repair_applied,1.0,0.49,0.2,0.7,0.597,59.7,Secondary/Transform
