feature,score_association_strength_0_100,score_interaction_value_0_100,score_temporal_stability_0_100,relationship_readiness_index_0_100,relationship_band
TotalCharges,100.0,9.9,60.0,58.5,High_Drift_or_Weak_Relationship
expected_total_senior,100.0,9.9,60.0,58.5,High_Drift_or_Weak_Relationship
expected_total_from_payment_profile,100.0,7.2,60.0,57.5,High_Drift_or_Weak_Relationship
expected_total_from_tenure_monthly,100.0,7.2,60.0,57.5,High_Drift_or_Weak_Relationship
total_charges_per_month,98.6,8.5,60.0,57.4,High_Drift_or_Weak_Relationship
MonthlyCharges,98.6,7.6,60.0,57.1,High_Drift_or_Weak_Relationship
MultipleLines,100.0,5.1,60.0,56.8,High_Drift_or_Weak_Relationship
PhoneService,100.0,1.6,60.0,55.6,High_Drift_or_Weak_Relationship
SeniorCitizen_flag_text,100.0,0.0,60.0,55.0,High_Drift_or_Weak_Relationship
Senior_flag,100.0,0.0,60.0,55.0,High_Drift_or_Weak_Relationship
tenure,92.7,5.9,60.0,54.2,High_Drift_or_Weak_Relationship
InternetService,90.0,8.5,60.0,54.0,High_Drift_or_Weak_Relationship
OnlineBackup,90.0,4.7,60.0,52.6,High_Drift_or_Weak_Relationship
OnlineSecurity,90.0,4.4,60.0,52.5,High_Drift_or_Weak_Relationship
expected_min_total_from_contract,90.0,4.4,60.0,52.5,High_Drift_or_Weak_Relationship
Partner,90.0,3.2,60.0,52.1,High_Drift_or_Weak_Relationship
SeniorCitizen,90.0,3.0,60.0,52.0,High_Drift_or_Weak_Relationship
Churn_flag,90.0,3.0,60.0,52.0,High_Drift_or_Weak_Relationship
Dependents,90.0,2.5,60.0,51.9,High_Drift_or_Weak_Relationship
DeviceProtection,90.0,1.7,60.0,51.6,High_Drift_or_Weak_Relationship
PaymentMethod,90.0,0.0,60.0,51.0,High_Drift_or_Weak_Relationship
PaperlessBilling,90.0,0.0,60.0,51.0,High_Drift_or_Weak_Relationship
StreamingTV,90.0,0.0,60.0,51.0,High_Drift_or_Weak_Relationship
TechSupport,90.0,0.0,60.0,51.0,High_Drift_or_Weak_Relationship
Contract,90.0,0.0,60.0,51.0,High_Drift_or_Weak_Relationship
StreamingMovies,90.0,0.0,60.0,51.0,High_Drift_or_Weak_Relationship
tenure_months_bucket,90.0,0.0,60.0,51.0,High_Drift_or_Weak_Relationship
pseudo_end,90.0,0.0,60.0,51.0,High_Drift_or_Weak_Relationship
Churn,90.0,0.0,60.0,51.0,High_Drift_or_Weak_Relationship
customerID,30.0,0.0,60.0,27.0,High_Drift_or_Weak_Relationship
gender,30.0,0.0,60.0,27.0,High_Drift_or_Weak_Relationship
pseudo_start,30.0,0.0,60.0,27.0,High_Drift_or_Weak_Relationship
expected_total_for_zero_tenure,30.0,0.0,60.0,27.0,High_Drift_or_Weak_Relationship
_logic_repair_applied,30.0,0.0,60.0,27.0,High_Drift_or_Weak_Relationship
