column,dtype,n_missing_before,pct_missing_before,strategy,impute_value,n_imputed,high_missing_flag
customerID,category,0,0.0,mode,,0,False
gender,category,0,0.0,mode,,0,False
SeniorCitizen,int64,0,0.0,median,,0,False
Partner,category,0,0.0,mode,,0,False
Dependents,category,0,0.0,mode,,0,False
tenure,int64,0,0.0,median,,0,False
PhoneService,category,0,0.0,mode,,0,False
MultipleLines,category,0,0.0,mode,,0,False
InternetService,category,0,0.0,mode,,0,False
OnlineSecurity,category,0,0.0,mode,,0,False
OnlineBackup,category,0,0.0,mode,,0,False
DeviceProtection,category,0,0.0,mode,,0,False
TechSupport,category,0,0.0,mode,,0,False
StreamingTV,category,0,0.0,mode,,0,False
StreamingMovies,category,0,0.0,mode,,0,False
Contract,category,0,0.0,mode,,0,False
PaperlessBilling,category,0,0.0,mode,,0,False
PaymentMethod,category,0,0.0,mode,,0,False
MonthlyCharges,float64,0,0.0,median,,0,False
TotalCharges,float64,0,0.0,median,,0,False
Churn,category,0,0.0,mode,,0,False
Churn_flag,Int8,0,0.0,median,,0,False
SeniorCitizen_flag_text,category,0,0.0,mode,,0,False
Senior_flag,boolean,0,0.0,median,,0,False
pseudo_start,datetime64[s],0,0.0,ffill,,0,False
pseudo_end,datetime64[ns],0,0.0,ffill,,0,False
expected_total_from_tenure_monthly,float64,0,0.0,median,,0,False
expected_total_for_zero_tenure,float64,7043,1.0,skip_high_missing,skipped_due_to_high_missing,0,True
expected_min_total_from_contract,float64,0,0.0,median,,0,False
expected_total_senior,float64,5901,0.8378531875621185,skip_high_missing,skipped_due_to_high_missing,0,True
expected_total_from_payment_profile,float64,0,0.0,median,,0,False
tenure_months_bucket,category,0,0.0,mode,,0,False
total_charges_per_month,float64,0,0.0,median,,0,False
