column,dtype,n_rows,n_null,pct_null,n_blank,pct_blank,n_non_null_non_blank
TotalCharges,float64,7043,11,0.1562,0,0.0,7032
customerID,object,7043,0,0.0,0,0.0,7043
gender,object,7043,0,0.0,0,0.0,7043
SeniorCitizen,int64,7043,0,0.0,0,0.0,7043
Partner,object,7043,0,0.0,0,0.0,7043
Dependents,object,7043,0,0.0,0,0.0,7043
tenure,int64,7043,0,0.0,0,0.0,7043
PhoneService,object,7043,0,0.0,0,0.0,7043
MultipleLines,object,7043,0,0.0,0,0.0,7043
InternetService,object,7043,0,0.0,0,0.0,7043
OnlineSecurity,object,7043,0,0.0,0,0.0,7043
OnlineBackup,object,7043,0,0.0,0,0.0,7043
DeviceProtection,object,7043,0,0.0,0,0.0,7043
TechSupport,object,7043,0,0.0,0,0.0,7043
StreamingTV,object,7043,0,0.0,0,0.0,7043
StreamingMovies,object,7043,0,0.0,0,0.0,7043
Contract,object,7043,0,0.0,0,0.0,7043
PaperlessBilling,object,7043,0,0.0,0,0.0,7043
PaymentMethod,object,7043,0,0.0,0,0.0,7043
MonthlyCharges,float64,7043,0,0.0,0,0.0,7043
Churn,object,7043,0,0.0,0,0.0,7043
Churn_flag,Int64,7043,0,0.0,0,0.0,7043
