categorical_feature,numeric_feature,test_method,test_statistic,p_value,mutual_information,effect_label,is_constant_groups
Contract,SeniorCitizen,anova,74.397217778914,1.0627009703878258e-32,0.0,Strong,False
Contract,tenure,anova,2962.3388632359347,0.0,0.39303535953728685,Strong,False
Contract,MonthlyCharges,anova,21.15256193608282,6.935069283209399e-10,0.03842945637125883,Strong,False
Contract,TotalCharges,anova,919.6168506362815,0.0,0.18419477773359327,Strong,False
Contract,Churn_flag,anova,711.760462563098,2.992166302020095e-282,0.0,Strong,False
Contract,expected_total_from_tenure_monthly,anova,919.8160442089071,0.0,0.18587116619591315,Strong,False
Contract,expected_total_for_zero_tenure,,,,0.0,Constant groups,True
Contract,expected_min_total_from_contract,anova,6786.280539409395,0.0,0.740183038899703,Strong,False
Contract,expected_total_senior,anova,264.3567814205396,4.9214036415929705e-95,0.22960947467459647,Strong,False
Contract,expected_total_from_payment_profile,anova,919.8160442089071,0.0,0.18587116619591315,Strong,False
Contract,total_charges_per_month,anova,22.540493167248357,1.7458136446160397e-10,0.03857871775742261,Strong,False
Churn,SeniorCitizen,anova,164.04142445613613,3.839860055793829e-37,0.0,Strong,False
Churn,tenure,anova,997.703172912651,6.609786308372265e-205,0.09965076158754904,Strong,False
Churn,MonthlyCharges,anova,274.3158267365997,1.7934040905099888e-60,0.03783970315354779,Strong,False
Churn,TotalCharges,anova,288.3847455555291,2.021471134812766e-63,0.04136237111384178,Strong,False
Churn,Churn_flag,,,,0.0,Constant groups,True
Churn,expected_total_from_tenure_monthly,anova,288.88537369388536,1.5881049481335665e-63,0.04134426605896735,Strong,False
Churn,expected_min_total_from_contract,anova,634.3049380840487,4.3284940090042877e-134,0.10736589916157824,Strong,False
Churn,expected_total_senior,anova,151.87778164038272,7.49889961950094e-33,0.09237364929141423,Strong,False
Churn,expected_total_from_payment_profile,anova,288.88537369388536,1.5881049481335665e-63,0.04134426605896735,Strong,False
Churn,total_charges_per_month,anova,275.47492968691716,1.0246250849633428e-60,0.036630845494055375,Strong,False
