feature_1,feature_2,pearson_r,spearman_rho,multicollinearity_flag
SeniorCitizen,tenure,0.016540264964064848,0.018466282954341315,False
SeniorCitizen,MonthlyCharges,0.22031789536606952,0.2210651491807002,False
SeniorCitizen,TotalCharges,0.10331944587507015,0.1081731013559591,False
SeniorCitizen,Churn_flag,0.15088932817647233,0.1508893281764731,False
SeniorCitizen,expected_total_from_tenure_monthly,0.10342271736263818,0.1086231873945382,False
SeniorCitizen,expected_total_for_zero_tenure,,,False
SeniorCitizen,expected_min_total_from_contract,-0.04677988246161133,-0.09231449711342118,False
SeniorCitizen,expected_total_senior,,,False
SeniorCitizen,expected_total_from_payment_profile,0.10342271736263818,0.1086231873945382,False
SeniorCitizen,total_charges_per_month,0.21866368964350913,0.21841154795442833,False
tenure,MonthlyCharges,0.2474036864468571,0.27634951467339053,False
tenure,TotalCharges,0.8268158263084401,0.8896687747763236,True
tenure,Churn_flag,-0.35229597414110936,-0.36739923486008863,False
tenure,expected_total_from_tenure_monthly,0.8270930602398978,0.8900105107673252,True
tenure,expected_total_for_zero_tenure,,,False
tenure,expected_min_total_from_contract,0.6503522143762905,0.6768192473905307,False
tenure,expected_total_senior,0.901739060459639,0.927475954229548,True
tenure,expected_total_from_payment_profile,0.8270930602398978,0.8900105107673252,True
tenure,total_charges_per_month,0.2469346714074775,0.2745646944913991,False
MonthlyCharges,TotalCharges,0.6506044595624157,0.638035797591008,False
MonthlyCharges,Churn_flag,0.19364616123838244,0.1847388720397297,False
MonthlyCharges,expected_total_from_tenure_monthly,0.6509807454198602,0.6383285929751644,False
MonthlyCharges,expected_total_for_zero_tenure,,,False
MonthlyCharges,expected_min_total_from_contract,0.385768875458011,0.20808921456944113,False
MonthlyCharges,expected_total_senior,0.5809617160669885,0.628262900150954,False
MonthlyCharges,expected_total_from_payment_profile,0.6509807454198602,0.6383285929751644,False
MonthlyCharges,total_charges_per_month,0.9953676920597838,0.9908537018273285,True
TotalCharges,Churn_flag,-0.19835921553780325,-0.22997440990490323,False
TotalCharges,expected_total_from_tenure_monthly,0.9995762434248234,0.9996103720110949,True
TotalCharges,expected_total_for_zero_tenure,,,False
TotalCharges,expected_min_total_from_contract,0.7366983519672962,0.6055012361939043,False
TotalCharges,expected_total_senior,0.9995157980126987,0.9996151982804534,True
TotalCharges,expected_total_from_payment_profile,0.9995762434248234,0.9996103720110949,True
TotalCharges,total_charges_per_month,0.6498313252223346,0.6379176835682341,False
Churn_flag,expected_total_from_tenure_monthly,-0.19852453408500506,-0.22990308310841673,False
Churn_flag,expected_total_for_zero_tenure,,,False
Churn_flag,expected_min_total_from_contract,-0.28747575732285163,-0.35802065039895836,False
Churn_flag,expected_total_senior,-0.34287546375400696,-0.35759581015293757,False
Churn_flag,expected_total_from_payment_profile,-0.19852453408500506,-0.22990308310841673,False
Churn_flag,total_charges_per_month,0.19403947729176613,0.18593722464191698,False
expected_total_from_tenure_monthly,expected_total_for_zero_tenure,,,False
expected_total_from_tenure_monthly,expected_min_total_from_contract,0.7367976122604283,0.6053923677741696,False
expected_total_from_tenure_monthly,expected_total_senior,0.9999945897853122,0.9999988760201978,True
expected_total_from_tenure_monthly,expected_total_from_payment_profile,1.0,1.0,True
expected_total_from_tenure_monthly,total_charges_per_month,0.6485388232130165,0.6353099779868897,False
expected_total_for_zero_tenure,expected_min_total_from_contract,,,False
expected_total_for_zero_tenure,expected_total_senior,,,False
expected_total_for_zero_tenure,expected_total_from_payment_profile,,,False
expected_total_for_zero_tenure,total_charges_per_month,,,False
expected_min_total_from_contract,expected_total_senior,0.6792964544131889,0.5847210061000752,False
expected_min_total_from_contract,expected_total_from_payment_profile,0.7367976122604283,0.6053923677741696,False
expected_min_total_from_contract,total_charges_per_month,0.3847120691848862,0.2057383803039129,False
expected_total_senior,expected_total_from_payment_profile,0.9999945897853122,0.9999988760201978,True
expected_total_senior,total_charges_per_month,0.5785615982515052,0.6187671206399445,False
expected_total_from_payment_profile,total_charges_per_month,0.6485388232130165,0.6353099779868897,False
