feature_i,feature_j,cramers_v,theils_u_ij,theils_u_ji,relation_strength,is_target_relation,base_score
customerID,gender,0.0,0.0,0.0,weak,False,0.0
customerID,Partner,0.0,0.0,0.0,weak,False,0.0
customerID,Dependents,0.0,0.0,0.0,weak,False,0.0
customerID,PhoneService,0.0,0.0,0.0,weak,False,0.0
customerID,MultipleLines,0.0,0.0,0.0,weak,False,0.0
customerID,InternetService,0.0,0.0,0.0,weak,False,0.0
customerID,OnlineSecurity,0.0,0.0,0.0,weak,False,0.0
customerID,OnlineBackup,0.0,0.0,0.0,weak,False,0.0
customerID,DeviceProtection,0.0,0.0,0.0,weak,False,0.0
customerID,TechSupport,0.0,0.0,0.0,weak,False,0.0
customerID,StreamingTV,0.0,0.0,0.0,weak,False,0.0
customerID,StreamingMovies,0.0,0.0,0.0,weak,False,0.0
customerID,Contract,0.0,0.0,0.0,weak,False,0.0
customerID,PaperlessBilling,0.0,0.0,0.0,weak,False,0.0
customerID,PaymentMethod,0.0,0.0,0.0,weak,False,0.0
customerID,Churn,0.0,0.0,0.0,weak,False,0.0
customerID,SeniorCitizen_flag_text,0.0,0.0,0.0,weak,False,0.0
gender,Partner,0.001808,2e-06,2e-06,weak,False,0.001808
gender,Dependents,0.010517,8e-05,9.1e-05,weak,False,0.010517
gender,PhoneService,0.006488,3e-05,6.6e-05,weak,False,0.006488
gender,MultipleLines,0.009452,6.4e-05,4.7e-05,weak,False,0.009452
gender,InternetService,0.01132,9.2e-05,6e-05,weak,False,0.01132
gender,OnlineSecurity,0.017025,0.000209,0.00014,weak,False,0.017025
gender,OnlineBackup,0.013798,0.000137,9e-05,weak,False,0.013798
gender,DeviceProtection,0.006029,2.6e-05,1.7e-05,weak,False,0.006029
gender,TechSupport,0.009722,6.8e-05,4.5e-05,weak,False,0.009722
gender,StreamingTV,0.008844,5.6e-05,3.7e-05,weak,False,0.008844
gender,StreamingMovies,0.010641,8.2e-05,5.3e-05,weak,False,0.010641
gender,Contract,0.008153,4.8e-05,3.3e-05,weak,False,0.008153
