column,role,feature_group,encoding_scheme,n_unique,effective_cardinality,high_cardinality,has_rare_categories,feature_readiness_score,readiness_label,pct_rows_affected,is_redundant_partner,max_redundancy_score,max_features_allowed,estimated_dimensionality,would_exceed_max_dim,encoding_recommendation
PaymentMethod,feature,unknown,one_hot,4.0,4.0,False,False,1.0,unknown,,False,,200,4.0,False,ok
Contract,feature,unknown,one_hot,3.0,3.0,False,False,1.0,unknown,,False,,200,3.0,False,ok
DeviceProtection,feature,unknown,one_hot,3.0,3.0,False,False,1.0,unknown,,False,,200,3.0,False,ok
InternetService,feature,unknown,one_hot,3.0,3.0,False,False,1.0,unknown,,False,,200,3.0,False,ok
MultipleLines,feature,unknown,one_hot,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,3.0,False,candidate_for_drop_or_merge
OnlineBackup,feature,unknown,one_hot,3.0,3.0,False,False,1.0,unknown,,False,,200,3.0,False,ok
OnlineSecurity,feature,unknown,one_hot,3.0,3.0,False,False,1.0,unknown,,False,,200,3.0,False,ok
StreamingMovies,feature,unknown,one_hot,3.0,3.0,False,False,1.0,unknown,,False,,200,3.0,False,ok
StreamingTV,feature,unknown,one_hot,3.0,3.0,False,False,1.0,unknown,,False,,200,3.0,False,ok
TechSupport,feature,unknown,one_hot,3.0,3.0,False,False,1.0,unknown,,False,,200,3.0,False,ok
Churn,feature,unknown,one_hot,2.0,2.0,False,False,1.0,unknown,,False,,200,2.0,False,ok
Dependents,feature,unknown,one_hot,2.0,2.0,False,False,1.0,unknown,,False,,200,2.0,False,ok
PaperlessBilling,feature,unknown,one_hot,2.0,2.0,False,False,1.0,unknown,,False,,200,2.0,False,ok
Partner,feature,unknown,one_hot,2.0,2.0,False,False,1.0,unknown,,False,,200,2.0,False,ok
PhoneService,feature,unknown,one_hot,2.0,2.0,False,False,1.0,unknown,,True,1.0,200,2.0,False,candidate_for_drop_or_merge
SeniorCitizen_flag_text,feature,unknown,one_hot,2.0,2.0,False,False,1.0,unknown,,False,,200,2.0,False,ok
gender,feature,unknown,one_hot,2.0,2.0,False,False,1.0,unknown,,False,,200,2.0,False,ok
customerID,feature,unknown,one_hot,1.0,1.0,False,False,1.0,unknown,,False,,200,1.0,False,ok
Churn,feature,unknown,target,2.0,2.0,False,False,1.0,unknown,,False,,200,1.0,False,ok
Contract,feature,unknown,target,3.0,3.0,False,False,1.0,unknown,,False,,200,1.0,False,ok
Dependents,feature,unknown,target,2.0,2.0,False,False,1.0,unknown,,False,,200,1.0,False,ok
DeviceProtection,feature,unknown,target,3.0,3.0,False,False,1.0,unknown,,False,,200,1.0,False,ok
InternetService,feature,unknown,target,3.0,3.0,False,False,1.0,unknown,,False,,200,1.0,False,ok
MultipleLines,feature,unknown,target,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
OnlineBackup,feature,unknown,target,3.0,3.0,False,False,1.0,unknown,,False,,200,1.0,False,ok
OnlineSecurity,feature,unknown,target,3.0,3.0,False,False,1.0,unknown,,False,,200,1.0,False,ok
PaperlessBilling,feature,unknown,target,2.0,2.0,False,False,1.0,unknown,,False,,200,1.0,False,ok
Partner,feature,unknown,target,2.0,2.0,False,False,1.0,unknown,,False,,200,1.0,False,ok
PaymentMethod,feature,unknown,target,4.0,4.0,False,False,1.0,unknown,,False,,200,1.0,False,ok
PhoneService,feature,unknown,target,2.0,2.0,False,False,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
SeniorCitizen_flag_text,feature,unknown,target,2.0,2.0,False,False,1.0,unknown,,False,,200,1.0,False,ok
StreamingMovies,feature,unknown,target,3.0,3.0,False,False,1.0,unknown,,False,,200,1.0,False,ok
StreamingTV,feature,unknown,target,3.0,3.0,False,False,1.0,unknown,,False,,200,1.0,False,ok
TechSupport,feature,unknown,target,3.0,3.0,False,False,1.0,unknown,,False,,200,1.0,False,ok
customerID,feature,unknown,target,1.0,1.0,False,False,1.0,unknown,,False,,200,1.0,False,ok
gender,feature,unknown,target,2.0,2.0,False,False,1.0,unknown,,False,,200,1.0,False,ok
