section,section_name,stage,wall_clock_sec,cpu_time_sec,peak_memory_mb,rows_processed,perf_severity,notes
2.0.0,Environment readiness & imports,2.0,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.0.1,CONFIG load & validation,2.0,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.0.2,PROJECT_ROOT / paths resolution,2.0,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.0.3,Input dataset discovery & existence checks,2.0,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.0.4,Output directories & artifacts setup,2.0,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.1.0,Section 2.1 driver / orchestration,2.1,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.1.1,Schema & column presence,2.1,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.1.2,Primary key / duplicate checks,2.1,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.1.3,Basic null / allowed-missingness checks,2.1,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.1.4,Row counts & basic consistency,2.1,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.1.5,ID / key pattern validation,2.1,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.1.6,Reference / foreign-key style checks,2.1,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.1.7,Schema drift vs expected schema,2.1,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.1.8,Section 2.1 aggregated report,2.1,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.1.9,Section 2.1 summary & gating hook,2.1,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.2.0,Section 2.2 driver / orchestration,2.2,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
