column,target_kind,semantic_type,reason,attempted,ok,pre_dtype,post_dtype,pre_non_null,post_non_null,new_nulls,success_ratio,applied,sample_fail_values,error
customerID,,categorical,not_coercion_candidate,False,True,object,object,7043,7043,0,1.0,False,,
gender,,categorical,not_coercion_candidate,False,True,object,object,7043,7043,0,1.0,False,,
SeniorCitizen,,numeric,not_coercion_candidate,False,True,int64,int64,7043,7043,0,1.0,False,,
Partner,,boolean_like_string,not_coercion_candidate,False,True,object,object,7043,7043,0,1.0,False,,
Dependents,,boolean_like_string,not_coercion_candidate,False,True,object,object,7043,7043,0,1.0,False,,
tenure,,numeric,not_coercion_candidate,False,True,int64,int64,7043,7043,0,1.0,False,,
PhoneService,,boolean_like_string,not_coercion_candidate,False,True,object,object,7043,7043,0,1.0,False,,
MultipleLines,,categorical,not_coercion_candidate,False,True,object,object,7043,7043,0,1.0,False,,
InternetService,,categorical,not_coercion_candidate,False,True,object,object,7043,7043,0,1.0,False,,
OnlineSecurity,,categorical,not_coercion_candidate,False,True,object,object,7043,7043,0,1.0,False,,
OnlineBackup,,categorical,not_coercion_candidate,False,True,object,object,7043,7043,0,1.0,False,,
DeviceProtection,,categorical,not_coercion_candidate,False,True,object,object,7043,7043,0,1.0,False,,
TechSupport,,categorical,not_coercion_candidate,False,True,object,object,7043,7043,0,1.0,False,,
StreamingTV,,categorical,not_coercion_candidate,False,True,object,object,7043,7043,0,1.0,False,,
StreamingMovies,,categorical,not_coercion_candidate,False,True,object,object,7043,7043,0,1.0,False,,
Contract,,categorical,not_coercion_candidate,False,True,object,object,7043,7043,0,1.0,False,,
PaperlessBilling,,boolean_like_string,not_coercion_candidate,False,True,object,object,7043,7043,0,1.0,False,,
PaymentMethod,,categorical,not_coercion_candidate,False,True,object,object,7043,7043,0,1.0,False,,
MonthlyCharges,,numeric,not_coercion_candidate,False,True,float64,float64,7043,7043,0,1.0,False,,
TotalCharges,,numeric,not_coercion_candidate,False,True,float64,float64,7032,7032,0,1.0,False,,
Churn,,boolean_like_string,not_coercion_candidate,False,True,object,object,7043,7043,0,1.0,False,,
Churn_flag,,numeric,not_coercion_candidate,False,True,Int64,Int64,7043,7043,0,1.0,False,,
