column,in_expected,in_actual,status,renamed_from,renamed_to,note
Churn,True,True,ok,,,
Churn_flag,True,True,ok,,,
Contract,True,True,ok,,,
Dependents,True,True,ok,,,
DeviceProtection,True,True,ok,,,
InternetService,True,True,ok,,,
MonthlyCharges,True,True,ok,,,
MultipleLines,True,True,ok,,,
OnlineBackup,True,True,ok,,,
OnlineSecurity,True,True,ok,,,
PaperlessBilling,True,True,ok,,,
Partner,True,True,ok,,,
PaymentMethod,True,True,ok,,,
PhoneService,True,True,ok,,,
SeniorCitizen,True,True,ok,,,
StreamingMovies,True,True,ok,,,
StreamingTV,True,True,ok,,,
TechSupport,True,True,ok,,,
TotalCharges,True,True,ok,,,
customerID,True,True,ok,,,
gender,True,True,ok,,,
tenure,True,True,ok,,,
