column,role,feature_group,dtype_x,n_unique_x,is_protected,notes,n_unique_y,unique_ratio,is_constant,high_cardinality,dtype_y,n_rows,n_null,pct_null,n_blank,pct_blank,n_non_null_non_blank,numeric_kind
Contract,feature,categorical_low_card,object,3,False,,3,0.000426,False,False,object,7043,0,0.0,0,0.0,7043,
Dependents,feature,categorical_low_card,object,2,False,,2,0.000284,False,False,object,7043,0,0.0,0,0.0,7043,
DeviceProtection,feature,categorical_low_card,object,3,False,,3,0.000426,False,False,object,7043,0,0.0,0,0.0,7043,
InternetService,feature,categorical_low_card,object,3,False,,3,0.000426,False,False,object,7043,0,0.0,0,0.0,7043,
MultipleLines,feature,categorical_low_card,object,3,False,,3,0.000426,False,False,object,7043,0,0.0,0,0.0,7043,
OnlineBackup,feature,categorical_low_card,object,3,False,,3,0.000426,False,False,object,7043,0,0.0,0,0.0,7043,
OnlineSecurity,feature,categorical_low_card,object,3,False,,3,0.000426,False,False,object,7043,0,0.0,0,0.0,7043,
PaperlessBilling,feature,categorical_low_card,object,2,False,,2,0.000284,False,False,object,7043,0,0.0,0,0.0,7043,
Partner,feature,categorical_low_card,object,2,False,,2,0.000284,False,False,object,7043,0,0.0,0,0.0,7043,
PaymentMethod,feature,categorical_low_card,object,4,False,,4,0.000568,False,False,object,7043,0,0.0,0,0.0,7043,
PhoneService,feature,categorical_low_card,object,2,False,,2,0.000284,False,False,object,7043,0,0.0,0,0.0,7043,
StreamingMovies,feature,categorical_low_card,object,3,False,,3,0.000426,False,False,object,7043,0,0.0,0,0.0,7043,
StreamingTV,feature,categorical_low_card,object,3,False,,3,0.000426,False,False,object,7043,0,0.0,0,0.0,7043,
TechSupport,feature,categorical_low_card,object,3,False,,3,0.000426,False,False,object,7043,0,0.0,0,0.0,7043,
gender,feature,categorical_low_card,object,2,False,,2,0.000284,False,False,object,7043,0,0.0,0,0.0,7043,
MonthlyCharges,feature,numeric_continuous,float64,1585,False,,1585,0.225046,False,False,float64,7043,0,0.0,0,0.0,7043,continuous
TotalCharges,feature,numeric_continuous,float64,6530,False,,6530,0.927162,False,True,float64,7043,11,0.1562,0,0.0,7032,continuous
tenure,feature,numeric_continuous,int64,73,False,,73,0.010365,False,False,int64,7043,0,0.0,0,0.0,7043,continuous
SeniorCitizen,feature,numeric_flag,int64,2,False,special_numeric_flag:categorical_int,2,0.000284,False,False,int64,7043,0,0.0,0,0.0,7043,binary_numeric
customerID,id,id,object,7043,True,protected,7043,1.0,False,True,object,7043,0,0.0,0,0.0,7043,
Churn_flag,target,target,Int64,2,True,protected,2,0.000284,False,False,Int64,7043,0,0.0,0,0.0,7043,binary_numeric
Churn,target_aux,target_aux,object,2,True,protected,2,0.000284,False,False,object,7043,0,0.0,0,0.0,7043,
