feature_1,feature_2,pearson_r,spearman_rho,kendall_tau,collinear_flag
SeniorCitizen,tenure,0.016540264964064848,0.018466282954341315,0.015243519745426197,False
SeniorCitizen,MonthlyCharges,0.2203190031354058,0.2210651491807002,0.18065418299084948,False
SeniorCitizen,TotalCharges,0.10297002298391586,0.1072605331791871,0.08759476448643318,False
SeniorCitizen,Churn_flag,0.15088932817647233,0.1508893281764731,0.15088932817647308,False
SeniorCitizen,expected_total_from_tenure_monthly,0.1034155655845361,0.10855403157607314,0.0886519334907919,False
SeniorCitizen,expected_total_for_zero_tenure,,,,False
SeniorCitizen,expected_min_total_from_contract,-0.047535540828856936,-0.09326799998442424,-0.0832919247309469,False
SeniorCitizen,expected_total_senior,,,,False
SeniorCitizen,expected_total_from_payment_profile,0.1034155655845361,0.10855403157607314,0.0886519334907919,False
SeniorCitizen,total_charges_per_month,0.09312111082654682,0.2160846154723068,0.1764639294834121,False
tenure,MonthlyCharges,0.24739964863522695,0.27634951467339053,0.19055138228553958,False
tenure,TotalCharges,0.8261487327685887,0.8873795923254663,0.7321477624062788,False
tenure,Churn_flag,-0.35229597414110936,-0.36739923486008863,-0.3032801731074744,False
tenure,expected_total_from_tenure_monthly,0.827205668294302,0.8900492224814225,0.7360555523749986,False
tenure,expected_total_for_zero_tenure,,,,False
tenure,expected_min_total_from_contract,0.6482439482130634,0.6729071964581343,0.5123026744070098,False
tenure,expected_total_senior,0.9018424301798316,0.9275190083993357,0.810675255303996,True
tenure,expected_total_from_payment_profile,0.827205668294302,0.8900492224814225,0.7360555523749986,False
tenure,total_charges_per_month,0.07742248977129475,0.26617835839384396,0.1832717206550802,False
MonthlyCharges,TotalCharges,0.6502901064850621,0.637456887807472,0.4593906293374497,False
MonthlyCharges,Churn_flag,0.1936491493402245,0.1847388720397297,0.15096839152927008,False
MonthlyCharges,expected_total_from_tenure_monthly,0.6509236948534182,0.6384108728766389,0.46080520652963874,False
MonthlyCharges,expected_total_for_zero_tenure,,,,False
MonthlyCharges,expected_min_total_from_contract,0.385128538513053,0.20725854677400354,0.21472198714262425,False
MonthlyCharges,expected_total_senior,0.5808400913513091,0.628179532134326,0.4495318151015021,False
MonthlyCharges,expected_total_from_payment_profile,0.6509236948534182,0.6384108728766389,0.46080520652963874,False
MonthlyCharges,total_charges_per_month,0.467422215442173,0.9864439060820251,0.9220437185618763,False
TotalCharges,Churn_flag,-0.19906328968241366,-0.23207266905805948,-0.18952311896416335,False
TotalCharges,expected_total_from_tenure_monthly,0.9992896997947934,0.9976240248004813,0.9803696243929073,True
TotalCharges,expected_total_for_zero_tenure,,,,False
TotalCharges,expected_min_total_from_contract,0.7358504436785716,0.6048596626891911,0.49139157820353324,False
TotalCharges,expected_total_senior,0.9995113638428993,0.9996161973730436,0.983797776198972,True
TotalCharges,expected_total_from_payment_profile,0.9992896997947934,0.9976240248004813,0.9803696243929073,True
TotalCharges,total_charges_per_month,0.30878648989564195,0.634820335903575,0.45731278545860893,False
Churn_flag,expected_total_from_tenure_monthly,-0.19859429667682688,-0.2301499821960343,-0.18795470438379316,False
Churn_flag,expected_total_for_zero_tenure,,,,False
Churn_flag,expected_min_total_from_contract,-0.2885255028872535,-0.3593422497123136,-0.3209065019158287,False
Churn_flag,expected_total_senior,-0.342923044482827,-0.3576281349544218,-0.292164598110357,False
Churn_flag,expected_total_from_payment_profile,-0.19859429667682688,-0.2301499821960343,-0.18795470438379316,False
Churn_flag,total_charges_per_month,0.0751690208998502,0.18285085897934508,0.14932382397694446,False
expected_total_from_tenure_monthly,expected_total_for_zero_tenure,,,,False
expected_total_from_tenure_monthly,expected_min_total_from_contract,0.7351103174218577,0.6018847595015295,0.48867670462743856,False
expected_total_from_tenure_monthly,expected_total_senior,0.9999934318357452,0.9999988760201978,0.999920935906306,True
expected_total_from_tenure_monthly,expected_total_from_payment_profile,1.0,1.0,1.0,True
expected_total_from_tenure_monthly,total_charges_per_month,0.2873109749421105,0.626606371280399,0.45143257634980116,False
expected_total_for_zero_tenure,expected_min_total_from_contract,,,,False
expected_total_for_zero_tenure,expected_total_senior,,,,False
expected_total_for_zero_tenure,expected_total_from_payment_profile,,,,False
expected_total_for_zero_tenure,total_charges_per_month,,,,False
expected_min_total_from_contract,expected_total_senior,0.6793087339990745,0.5847515746682719,0.4758403698659211,False
expected_min_total_from_contract,expected_total_from_payment_profile,0.7351103174218578,0.6018847595015295,0.48867670462743856,False
expected_min_total_from_contract,total_charges_per_month,0.20223633350730924,0.2062737979939504,0.1975010397922848,False
expected_total_senior,expected_total_from_payment_profile,0.9999934318357452,0.9999988760201978,0.999920935906306,True
expected_total_senior,total_charges_per_month,0.5784240323832968,0.6186843006991974,0.4407562865402219,False
expected_total_from_payment_profile,total_charges_per_month,0.2873109749421105,0.626606371280399,0.45143257634980116,False
