column,target_dtype,old_dtype,new_dtype,n_non_null_before,n_non_null_after,n_errors,status,notes
customerID,categorical,category,category,7043,7043,0,ok,
gender,categorical,category,category,7043,7043,0,ok,
SeniorCitizen,numeric,int64,int64,7043,7043,0,ok,
Partner,categorical,category,category,7043,7043,0,ok,
Dependents,categorical,category,category,7043,7043,0,ok,
tenure,numeric,int64,int64,7043,7043,0,ok,
PhoneService,categorical,category,category,7043,7043,0,ok,
MultipleLines,categorical,category,category,7043,7043,0,ok,
InternetService,categorical,category,category,7043,7043,0,ok,
OnlineSecurity,categorical,category,category,7043,7043,0,ok,
OnlineBackup,categorical,category,category,7043,7043,0,ok,
DeviceProtection,categorical,category,category,7043,7043,0,ok,
TechSupport,categorical,category,category,7043,7043,0,ok,
StreamingTV,categorical,category,category,7043,7043,0,ok,
StreamingMovies,categorical,category,category,7043,7043,0,ok,
Contract,categorical,category,category,7043,7043,0,ok,
PaperlessBilling,categorical,category,category,7043,7043,0,ok,
PaymentMethod,categorical,category,category,7043,7043,0,ok,
MonthlyCharges,numeric,float64,float64,7043,7043,0,ok,
TotalCharges,numeric,float64,float64,7043,7043,0,ok,
Churn,categorical,category,category,7043,7043,0,ok,
Churn_flag,numeric,Int8,Int8,7043,7043,0,ok,
SeniorCitizen_flag_text,categorical,category,category,7043,7043,0,ok,
Senior_flag,numeric,boolean,boolean,7043,7043,0,ok,
pseudo_start,datetime,datetime64[s],datetime64[s],7043,7043,0,ok,
pseudo_end,datetime,datetime64[ns],datetime64[ns],7043,7043,0,ok,
expected_total_from_tenure_monthly,numeric,float64,float64,7043,7043,0,ok,
expected_total_for_zero_tenure,numeric,float64,float64,0,0,0,ok,
expected_min_total_from_contract,numeric,float64,float64,7043,7043,0,ok,
expected_total_senior,numeric,float64,float64,1142,1142,0,ok,
expected_total_from_payment_profile,numeric,float64,float64,7043,7043,0,ok,
tenure_months_bucket,categorical,category,category,7043,7043,0,ok,
total_charges_per_month,numeric,float64,float64,7043,7043,0,ok,
