feature,type,score_distribution_health,score_completeness_cardinality,score_association_strength,score_visual_clarity,score_stability,exploratory_index_0_100,eda_band
customerID,categorical,80.0,100.0,0.0,90.0,70.0,68.0,Transform
gender,categorical,100.0,100.0,13.04,100.0,70.0,76.61,Transform
SeniorCitizen,numeric,70.0,100.0,100.0,85.0,70.0,85.0,EDA_Ready
Partner,categorical,100.0,100.0,100.0,100.0,70.0,94.0,EDA_Ready
Dependents,categorical,80.0,100.0,100.0,90.0,70.0,88.0,EDA_Ready
tenure,numeric,95.0,100.0,100.0,97.5,70.0,92.5,EDA_Ready
PhoneService,categorical,80.0,100.0,100.0,90.0,70.0,88.0,EDA_Ready
MultipleLines,categorical,100.0,100.0,100.0,100.0,70.0,94.0,EDA_Ready
InternetService,categorical,100.0,100.0,100.0,100.0,70.0,94.0,EDA_Ready
OnlineSecurity,categorical,100.0,100.0,100.0,100.0,70.0,94.0,EDA_Ready
OnlineBackup,categorical,100.0,100.0,100.0,100.0,70.0,94.0,EDA_Ready
DeviceProtection,categorical,100.0,100.0,100.0,100.0,70.0,94.0,EDA_Ready
TechSupport,categorical,100.0,100.0,100.0,100.0,70.0,94.0,EDA_Ready
StreamingTV,categorical,100.0,100.0,100.0,100.0,70.0,94.0,EDA_Ready
StreamingMovies,categorical,100.0,100.0,100.0,100.0,70.0,94.0,EDA_Ready
Contract,categorical,100.0,100.0,100.0,100.0,70.0,94.0,EDA_Ready
PaperlessBilling,categorical,100.0,100.0,100.0,100.0,70.0,94.0,EDA_Ready
PaymentMethod,categorical,100.0,100.0,100.0,100.0,70.0,94.0,EDA_Ready
MonthlyCharges,numeric,95.0,100.0,100.0,97.5,70.0,92.5,EDA_Ready
TotalCharges,numeric,95.0,100.0,100.0,97.5,70.0,92.5,EDA_Ready
Churn,categorical,80.0,100.0,100.0,90.0,70.0,88.0,EDA_Ready
Churn_flag,numeric,65.0,100.0,100.0,82.5,70.0,83.5,EDA_Ready
SeniorCitizen_flag_text,categorical,80.0,100.0,100.0,90.0,70.0,88.0,EDA_Ready
Senior_flag,categorical,80.0,100.0,100.0,90.0,70.0,88.0,EDA_Ready
pseudo_start,categorical,80.0,100.0,0.0,90.0,70.0,68.0,Transform
pseudo_end,categorical,67.5,100.0,100.0,83.75,70.0,84.25,EDA_Ready
expected_total_from_tenure_monthly,numeric,95.0,100.0,100.0,97.5,70.0,92.5,EDA_Ready
expected_total_for_zero_tenure,numeric,60.0,0.0,100.0,30.0,70.0,52.0,LowValue
expected_min_total_from_contract,numeric,65.0,100.0,100.0,82.5,70.0,83.5,EDA_Ready
expected_total_senior,numeric,95.0,16.21,100.0,55.61,70.0,67.36,Transform
expected_total_from_payment_profile,numeric,95.0,100.0,100.0,97.5,70.0,92.5,EDA_Ready
tenure_months_bucket,categorical,100.0,100.0,100.0,100.0,70.0,94.0,EDA_Ready
total_charges_per_month,numeric,45.0,100.0,100.0,72.5,70.0,77.5,Transform
_logic_repair_applied,categorical,80.0,100.0,0.0,90.0,70.0,68.0,Transform
