feature,n_categories,top_category,top_category_share,entropy,balance_label
customerID,1,Other,1.0,-1.601713251907458e-15,Dominant
gender,2,Male,0.504756495811444,0.9999347192218622,Balanced
Partner,2,No,0.5169672014766434,0.9991691773069394,Balanced
Dependents,2,No,0.7004117563538265,0.8807869888527278,Fragmented
PhoneService,2,Yes,0.9031662643759761,0.4588776548817181,Dominant
MultipleLines,3,No,0.48132897912821243,1.359215107841433,Balanced
InternetService,3,Fiber optic,0.4395854039471816,1.5288897182435135,Balanced
OnlineSecurity,3,No,0.4966633536845094,1.4962596521228737,Balanced
OnlineBackup,3,No,0.43844952435041884,1.5292879074512618,Balanced
DeviceProtection,3,No,0.43944341899758627,1.52894001945895,Balanced
TechSupport,3,No,0.4931137299446259,1.499024192354832,Balanced
StreamingTV,3,No,0.3989777083629135,1.5371724482767837,Balanced
StreamingMovies,3,No,0.39542808462303,1.5373172622223152,Balanced
Contract,3,Month-to-month,0.5501916796819537,1.4409325311103738,Balanced
PaperlessBilling,2,Yes,0.5922192247621753,0.9753204793068757,Balanced
PaymentMethod,4,Electronic check,0.3357944057929859,1.9731902790324283,Balanced
Churn,2,No,0.7346301292063041,0.8347419473972084,Fragmented
SeniorCitizen_flag_text,2,No,0.8378531875621185,0.6394207641484556,Dominant
Senior_flag,2,False,0.8378531875621185,0.6394207641484556,Dominant
pseudo_start,1,2000-01-01 00:00:00,1.0,-1.601713251907458e-15,Dominant
pseudo_end,73,2000-01-31 00:00:00,0.0870367741019452,5.921832558969656,Fragmented
_logic_repair_applied,1,False,1.0,-1.601713251907458e-15,Dominant
tenure_months_bucket,5,0-12,0.31037909981541956,2.2417124593818363,Balanced
